id;ans_option;health_condition;active;last_modified;last_modified_by
1;Implementation;STABLE;true;2022-02-01T08:36:51;Sleek
2;strategic Games Computer;DEATH;true;2022-02-01T04:44:07;next
3;Account IB deliver;STABLE;true;2022-01-31T11:44:57;Reduced
4;haptic Palau Clothing;CRITICAL;true;2022-02-01T00:24:58;Andorra microchip
5;throughput Incredible SDD;RECOVERED;false;2022-01-31T11:26:27;Fall port Accounts
6;Cordoba granular internet;STABLE;false;2022-01-31T15:43:23;front-end yellow Polynesia
7;Fresh Car brand;RECOVERED;true;2022-02-01T05:25:31;CSS
8;Nevada;CRITICAL;true;2022-01-31T23:57:45;North
9;parse;CRITICAL;true;2022-02-01T07:35:45;Bhutanese Personal payment
10;Checking wireless;CRITICAL;false;2022-01-31T15:56:52;Concrete
