id;question;question_desc;question_type;active;last_modified;last_modified_by
1;quantify;compress Junctions;MULTISELECT;true;2022-02-01T02:20:57;withdrawal olive
2;maroon deposit;Facilitator silver;SINGLE;true;2022-01-31T15:31:14;Response
3;teal;Dynamic;SINGLE;true;2022-02-01T06:49:46;Account Iowa Implementation
4;HDD (Bouvetoya);content;FREETEXT;true;2022-02-01T05:08:19;Data Bedfordshire mission-critical
5;Junction;Carolina;MULTISELECT;false;2022-02-01T03:14:05;Rupee Paradigm AI
6;Account Borders;Soft virtual withdrawal;FREETEXT;true;2022-02-01T04:43:38;invoice
7;Directives compress haptic;Designer;SINGLE;true;2022-01-31T14:40:31;Rhode user-centric navigate
8;Forward networks real-time;COM;FREETEXT;false;2022-02-01T01:49:36;deposit
9;Shoes orchid Sausages;Virginia Shirt neural;SINGLE;false;2022-01-31T09:54:41;productize Facilitator Granite
10;Optimization Solutions;Metal payment Cuban;SINGLE;true;2022-01-31T20:51:36;Yemen Berkshire
